"","Country","DAuser","APRU","Internetpt","internetus","GDPper","AvemarrigeAgewo","Pop","Marriage Rate per 1000 people","Divorce Rate per 1000 people","Medianage","Gender Wage Gap","PD","ID","MC","UA","LTO","IG","Medianagedm","MFC","RF","SF","GFF","DAPrate","DVrate"
"1","Albania",0.1,23.84,0.775,2221441.4,13833.9816,24.200001,2866376,7.9,1.6,36.200001,NA,90,20,80,70,61,15,0,55.626,98.13,65,25,0.0348872583359615,1.6
"2","Algeria",0.83,10.02,0.505,21325356.645,11750.3792,28.200001,42228429,9.600000381,0.40000001,27.5,NA,80,35,35,70,26,32,1,16.25,28.75,20,6.25,0.0196550053993247,0.40000001
"3","Angola",1.13,5.81,0.213,6562479.306,7097.11877,21.5,30809762,4.300000191,0,16.4,NA,83,18,20,60,15,83,1,46,70,55,25,0.0366766870837886,0
"4","Argentina",4.51,8.7,0.688,30612217.376,23282.637,24.6,44494502,2.7,NA,30.799999,-3.62,49,46,56,86,20,62,1,86.776,86.88,86,87.5,0.101360837795195,NA
"5","Australia",3.67,20.4,0.792,19786288.896,51036.4059,28.799999,24982688,4.6,2,37.400002,NA,38,90,61,51,21,71,0,82.826,98.13,68,90,0.146901726507572,2
"6","Austria",0.79,29.32,0.82,7249227.22,56871.2114,31.5,8840521,5.1,1.8,43.200001,22.22,11,55,79,70,60,63,0,86.626,98.13,100,67.5,0.0893612491842958,1.8
"7","Azerbaijan",0.21,13.11,0.767,7623804.357,14544.9534,24.200001,9939771,6.4,1.5,30.299999,NA,85,22,50,88,61,22,1,46.3,51.5,55,35,0.0211272472977496,1.5
"8","Bangladesh",2.07,4.38,0.255,41145789.945,4546.22742,18.799999,161356039,12.5,NA,25.6,NA,80,20,55,60,47,20,1,35.4,32,60,12.5,0.0128287730216283,NA
"9","Belarus",0.28,14.98,0.674,6391878.326,19330.8689,24.6,9483499,7,3.4000001,39.599998,NA,95,25,20,95,81,15,0,52.2,56,55,47.5,0.0295249675251719,3.4000001
"10","Belgium",1.07,20.87,0.798,9118789.092,52249.5735,31.200001,11427054,3.9,2,41.299999,6.54,65,75,54,94,82,57,0,86.576,86.88,83,90,0.0936374327101281,2
"11","Bhutan",0.02,49.12,0.519,391530.486,11613.1625,23.799999,754394,NA,NA,26.299999,NA,94,52,32,28,NA,NA,1,NA,NA,NA,NA,0.0265113455303197,NA
"12","Bolivia",0.35,12.1,0.874,9922646.108,8859.77373,24,11353142,2.200000048,NA,24.1,6.18,78,10,42,87,25,46,1,78.25,96.25,100,47.5,0.030828470215558,NA
"13","Bosnia and Herzegovina",0.11,15.69,0.701,2330074.229,14932.3732,25.700001,3323929,4.8,0.60000002,41,NA,90,22,48,87,70,44,0,58.75,88.75,65,37.5,0.0330933663143828,0.60000002
"14","Brazil",15.05,10.12,0.627,131337271.791,14940.6726,23.9,209469333,4.699999809,0.89999998,31.299999,15.97,69,38,49,76,44,59,1,91.826,98.13,93,87.5,0.0718482261076374,0.89999998
"15","Bulgaria",0.22,8.89,0.614,4313372.718,22601.4035,27.299999,7025037,4,1.5,43.5,12.66,70,30,40,85,69,16,0,53.65,66.25,66,35,0.0313165610373298,1.5
